时间,设备名称,加速度X(g),加速度Y(g),加速度Z(g),角速度X(°/s),角速度Y(°/s),角速度Z(°/s),角度X(°),角度Y(°),角度Z(°),磁场X(ʯt),磁场Y(ʯt),磁场Z(ʯt),温度(℃),气压(Pa),高度(m),经度(),纬度(),GPS地速(km),GPS航向(°),GPS高度(m),卫星数量(),位置定位精度(),水平定位精度(),垂直定位精度(),四元数0(),四元数1(),四元数2(),四元数3()
 10:32:07.355,COM6,-0.105,-0.09,1.031,9.399,9.155,-9.705,-1.445,7.734,-102.728,-1300,5971,12255,37.3,,,,,,,,,,,,0.6235,0.0448,0.05194,-0.77875
 10:32:07.447,COM6,0.012,0.322,0.927,40.466,12.634,-23.315,2.148,6.949,-105.502,-1461,5844,11964,37.3,,,,,,,,,,,,0.60309,0.05957,0.02176,-0.79507
 10:32:07.554,COM6,-0.147,0.208,1,27.1,-3.662,19.104,9.146,4.23,-105.167,-1700,5463,11328,37.28,,,,,,,,,,,,0.60287,0.07764,-0.04095,-0.79294
 10:32:07.689,COM6,-0.002,0.447,0.867,-5.371,-10.01,4.7,10.986,4.098,-104.348,-1421,5241,10976,37.32,,,,,,,,,,,,0.6073,0.08679,-0.05374,-0.78781
 10:32:07.751,COM6,0.146,0.017,0.534,2.075,0.061,-19.287,8.047,3.098,-104.326,-1654,5504,11107,37.27,,,,,,,,,,,,0.61014,0.06433,-0.03882,-0.78867
 10:32:07.871,COM6,-0.007,0.051,1.054,0.732,-8.179,-21.667,7.883,1.225,-104.458,-1647,5550,11289,37.31,,,,,,,,,,,,0.61038,0.05054,-0.04779,-0.789
 10:32:07.985,COM6,0.027,0.315,0.893,26.917,20.874,-13.367,10.415,1.34,-107.798,-1809,5332,11213,37.33,,,,,,,,,,,,0.58582,0.0629,-0.06647,-0.80521
 10:32:08.041,COM6,-0.048,0.088,1.057,-70.251,23.193,0.122,7.548,1.527,-108.699,-2051,5247,11308,37.28,,,,,,,,,,,,0.58075,0.04919,-0.04568,-0.81125
 10:32:08.150,COM6,-0.024,-0.074,1.104,-7.69,11.536,18.677,6.147,3.439,-106.985,-1951,5320,11360,37.28,,,,,,,,,,,,0.59247,0.05597,-0.02524,-0.80319
 10:32:08.257,COM6,0.065,0.246,0.982,-2.808,-1.343,20.813,6.79,3.115,-105.013,-1678,5544,11369,37.32,,,,,,,,,,,,0.60605,0.05756,-0.03043,-0.79269
 10:32:08.338,COM6,-0.032,0.146,0.973,-129.333,-1.831,-15.869,2.357,2.554,-104.277,-1691,5680,11714,37.27,,,,,,,,,,,,0.61307,0.03024,-0.00253,-0.7894
 10:32:08.448,COM6,-0.081,-0.181,0.979,-137.39,28.87,6.836,-8.795,3.944,-104.222,-1638,6267,12620,37.27,,,,,,,,,,,,0.61401,-0.01996,0.08154,-0.78476
 10:32:08.559,COM6,-0.03,-0.417,1.037,7.202,-9.033,20.081,-13.024,5.114,-103.222,-1399,6488,13268,37.3,,,,,,,,,,,,0.6203,-0.03558,0.11636,-0.77481
 10:32:08.935,COM6,-0.135,-0.195,0.972,10.864,2.258,4.456,-11.997,5.345,-103.206,-1404,6509,13231,37.27,,,,,,,,,,,,0.62082,-0.02847,0.1106,-0.77554
 10:32:09.206,COM6,-0.212,-0.293,0.993,21.362,4.272,-0.122,-8.8,5.861,-101.854,-1494,6558,13010,37.27,,,,,,,,,,,,0.63062,-0.00867,0.09161,-0.77057
 10:32:09.273,COM6,-0.179,0.518,0.811,83.13,-20.935,-21.118,-0.912,5.68,-103.315,-1446,6244,12437,37.3,,,,,,,,,,,,0.61984,0.03391,0.03696,-0.78305
 10:32:09.361,COM6,-0.007,0.24,0.96,83.252,17.456,5.737,7.548,4.625,-105.227,-1606,5733,11632,37.31,,,,,,,,,,,,0.60321,0.07193,-0.0278,-0.79376
 10:32:09.422,COM6,-0.014,0.164,1.004,10.071,-3.906,-3.662,10.767,4.592,-105.557,-1708,5310,11010,37.27,,,,,,,,,,,,0.59872,0.0885,-0.05051,-0.7944
 10:32:09.813,COM6,-0.061,0.339,0.938,-5.188,-0.183,-3.845,11.849,4.537,-105.079,-1742,5233,10832,37.27,,,,,,,,,,,,0.6012,0.09399,-0.05792,-0.79135
 10:32:09.825,COM6,-0.14,0.194,1.021,21.667,18.921,20.569,12.689,5.037,-103.826,-1485,5242,10707,37.29,,,,,,,,,,,,0.60861,0.10251,-0.05994,-0.78448
 10:32:09.831,COM6,-0.095,0.247,1.018,27.222,6.47,5.737,15.809,5.422,-102.2,-1272,5042,10461,37.27,,,,,,,,,,,,0.61618,0.12274,-0.07745,-0.77405
 10:32:09.839,COM6,-0.066,0.463,0.903,55.481,-2.563,14.771,19.825,5.191,-101.146,-1072,4822,10103,37.27,,,,,,,,,,,,0.6189,0.14365,-0.10449,-0.76505
 10:32:09.860,COM6,-0.03,0.541,0.837,67.749,0.488,19.714,25.785,4.499,-96.075,-1115,4409,9694,37.28,,,,,,,,,,,,0.64468,0.17755,-0.1402,-0.73013
 10:32:09.867,COM6,-0.076,0.58,0.875,8.789,4.822,19.043,28.663,3.653,-96.081,-961,3990,9464,37.23,,,,,,,,,,,,0.64154,0.18842,-0.16333,-0.72534
 10:32:09.874,COM6,-0.002,0.572,0.841,6.714,0.549,12.512,29.279,3.51,-98.723,-861,3977,9366,37.26,,,,,,,,,,,,0.62393,0.18701,-0.17239,-0.73886
 10:32:09.882,COM6,0.007,0.139,1.033,-121.399,5.005,1.892,22.418,3.329,-100.915,-925,4350,9625,37.27,,,,,,,,,,,,0.61981,0.14569,-0.13171,-0.7597
 10:32:09.962,COM6,0.027,0.424,0.898,-8.972,0.183,-12.207,16.837,3.318,-105.381,-1103,4901,10270,37.27,,,,,,,,,,,,0.59592,0.11148,-0.099,-0.789
 10:32:10.041,COM6,-0.089,0.336,0.934,-18.188,0.427,0.183,15.98,3.301,-106.727,-931,4975,10453,37.26,,,,,,,,,,,,0.58743,0.1058,-0.09445,-0.79669
 10:32:10.148,COM6,-0.058,0.341,0.946,-22.522,-1.404,7.874,15.167,3.279,-109.803,-1201,4925,10517,37.27,,,,,,,,,,,,0.56659,0.09906,-0.09161,-0.81281
 10:32:10.257,COM6,-0.02,0.075,1.082,23.926,2.197,-1.465,12.437,3.235,-111.292,-988,5155,10817,37.29,,,,,,,,,,,,0.5582,0.08429,-0.07355,-0.82208
 10:32:10.340,COM6,-0.039,0.263,0.979,-8.911,-1.099,-1.099,15.469,2.725,-113.549,-833,5279,10543,37.29,,,,,,,,,,,,0.54007,0.09341,-0.09961,-0.83041
 10:32:10.450,COM6,0.167,0.246,0.988,6.775,-1.038,4.822,15.315,2.648,-115.422,-816,5284,10475,37.28,,,,,,,,,,,,0.52661,0.09052,-0.10037,-0.83923
 10:32:10.555,COM6,0.099,0.445,0.888,-48.645,24.78,-10.193,14.969,3.647,-116.785,-891,5297,10468,37.29,,,,,,,,,,,,0.51578,0.09512,-0.09433,-0.84613
 10:32:10.665,COM6,-0.079,0.28,0.979,-39.368,-33.875,-5.859,13.678,1.807,-118.685,-852,5204,10556,37.29,,,,,,,,,,,,0.50455,0.07419,-0.09442,-0.85492
 10:32:10.763,COM6,-0.013,0.474,0.874,-10.437,8.484,11.169,15.04,2.335,-121.069,-1013,5233,10493,37.27,,,,,,,,,,,,0.48517,0.08197,-0.104,-0.86426
 10:32:10.846,COM6,-0.014,0.276,0.973,0.366,0.549,-0.244,14.464,2.263,-122.503,-986,5212,10477,37.26,,,,,,,,,,,,0.47482,0.0777,-0.10089,-0.87076
 10:32:10.952,COM6,-0.013,0.274,0.973,0.854,0.488,-0.732,14.535,2.23,-124.019,-889,5220,10533,37.27,,,,,,,,,,,,0.46326,0.07639,-0.1026,-0.87689
 10:32:11.061,COM6,-0.013,0.288,0.969,-0.854,0.427,-1.099,14.562,2.197,-125.447,-810,5226,10574,37.29,,,,,,,,,,,,0.4523,0.07498,-0.10391,-0.88257
 10:32:11.142,COM6,-0.019,0.285,0.97,-0.732,0.366,-1.404,14.573,2.159,-126.837,-1002,5241,10523,37.28,,,,,,,,,,,,0.44159,0.07349,-0.10504,-0.88797
 10:32:11.247,COM6,-0.021,0.294,0.963,-1.77,1.77,-1.709,14.81,2.45,-128.007,-916,5248,10471,37.29,,,,,,,,,,,,0.43201,0.07553,-0.10654,-0.8923
 10:32:11.386,COM6,-0.017,0.291,0.966,-3.052,1.282,-1.831,14.661,2.483,-129.254,-1129,5230,10519,37.27,,,,,,,,,,,,0.42233,0.0741,-0.10602,-0.89709
 10:32:11.444,COM6,-0.02,0.299,0.965,-8.911,1.16,-1.526,14.222,2.499,-130.474,-842,5226,10520,37.27,,,,,,,,,,,,0.41302,0.07153,-0.1033,-0.90195
 10:32:11.552,COM6,-0.02,0.26,0.977,-10.62,0.793,-1.282,13.332,2.527,-131.605,-929,5159,10660,37.27,,,,,,,,,,,,0.40463,0.06757,-0.09686,-0.90677
 10:32:11.693,COM6,-0.027,0.242,0.985,-8.911,2.258,-0.916,12.458,2.565,-132.627,-1063,5520,10710,37.26,,,,,,,,,,,,0.39697,0.064,-0.09039,-0.91107
 10:32:11.748,COM6,-0.032,0.236,0.982,-10.193,4.333,-1.038,11.656,2.823,-133.517,-935,5530,10817,37.27,,,,,,,,,,,,0.39008,0.06259,-0.08362,-0.91476
 10:32:11.899,COM6,-0.031,0.21,0.989,-4.761,1.038,-0.854,10.986,3.021,-134.385,-808,5477,10878,37.26,,,,,,,,,,,,0.38333,0.06131,-0.078,-0.91821
 10:32:11.984,COM6,-0.028,0.205,0.993,-1.16,0.977,-1.587,10.75,3.054,-135.297,-800,5466,10979,37.26,,,,,,,,,,,,0.37613,0.06015,-0.07654,-0.92139
 10:32:12.081,COM6,-0.034,0.208,0.989,5.188,1.16,-0.977,10.904,3.082,-136.192,-1002,5459,11012,37.25,,,,,,,,,,,,0.3688,0.0603,-0.07813,-0.92419
 10:32:12.243,COM6,-0.03,0.23,0.985,4.761,0.183,-1.587,11.437,3.104,-137.021,-978,5495,10946,37.25,,,,,,,,,,,,0.36182,0.06158,-0.08282,-0.92645
 10:32:12.253,COM6,-0.026,0.234,0.984,2.502,-0.61,-1.587,11.865,3.027,-137.851,-1154,5539,10856,37.27,,,,,,,,,,,,0.35492,0.06168,-0.08694,-0.92874
 10:32:12.382,COM6,-0.025,0.239,0.984,1.831,-0.488,-1.465,12.134,2.917,-138.631,-1189,5561,10763,37.24,,,,,,,,,,,,0.34857,0.06104,-0.0899,-0.93091
 10:32:12.499,COM6,-0.025,0.246,0.979,1.77,0.061,-1.221,12.415,2.867,-139.334,-1184,5591,10832,37.26,,,,,,,,,,,,0.34274,0.06088,-0.09274,-0.9328
 10:32:12.589,COM6,-0.025,0.247,0.98,0.793,-0.061,-1.282,12.601,2.807,-140.004,-1244,5591,10752,37.23,,,,,,,,,,,,0.33722,0.06042,-0.09479,-0.93463
 10:32:12.697,COM6,-0.021,0.253,0.979,1.16,-0.305,-1.526,12.783,2.736,-140.669,-1244,5482,10757,37.3,,,,,,,,,,,,0.33179,0.05981,-0.0968,-0.9364
 10:32:12.781,COM6,-0.022,0.255,0.979,-0.671,0.427,-0.977,12.892,2.681,-141.273,-1225,5449,10746,37.25,,,,,,,,,,,,0.32684,0.05917,-0.09818,-0.93805
 10:32:12.877,COM6,-0.014,0.255,0.979,-5.859,2.075,1.343,12.799,2.697,-141.735,-1243,5359,10800,37.24,,,,,,,,,,,,0.32309,0.05862,-0.0976,-0.93942
 10:32:12.969,COM6,-0.03,0.259,0.976,-3.357,0.61,0.854,12.524,2.686,-142.114,-1212,5571,10798,37.27,,,,,,,,,,,,0.32013,0.05743,-0.09558,-0.94073
 10:32:13.085,COM6,-0.019,0.234,0.987,-3.723,-0.854,-0.366,12.151,2.648,-142.432,-1189,5573,10848,37.27,,,,,,,,,,,,0.31775,0.05582,-0.09277,-0.94193
 10:32:13.168,COM6,-0.019,0.233,0.986,-0.671,-0.305,-0.671,12.09,2.505,-142.872,-1185,5559,10924,37.26,,,,,,,,,,,,0.31427,0.05411,-0.0929,-0.94318
 10:32:13.255,COM6,-0.02,0.236,0.985,2.136,0.61,-0.793,12.277,2.455,-143.295,-1254,5561,10884,37.23,,,,,,,,,,,,0.31079,0.05389,-0.09476,-0.94415
 10:32:13.374,COM6,0.011,0.26,0.977,5.31,0.488,-1.038,12.706,2.439,-143.712,-1209,5573,10769,37.27,,,,,,,,,,,,0.30713,0.05457,-0.09854,-0.94492
 10:32:13.465,COM6,0.012,0.36,0.942,-5.249,5.066,3.418,13.002,2.488,-143.992,-1248,5588,10775,37.27,,,,,,,,,,,,0.30463,0.05548,-0.10098,-0.94543
 10:32:13.550,COM6,-0.028,0.211,0.99,-11.963,-1.526,5.066,12.618,2.56,-144.097,-1056,5575,10779,37.26,,,,,,,,,,,,0.30386,0.05499,-0.09769,-0.94604
 10:32:13.687,COM6,-0.02,0.223,0.989,-4.639,1.526,1.221,12.667,2.791,-144.185,-855,5600,10736,37.29,,,,,,,,,,,,0.30292,0.05695,-0.09747,-0.94626
 10:32:13.793,COM6,-0.021,0.248,0.981,3.784,0.732,-0.427,13.063,2.807,-144.371,-837,5578,10701,37.27,,,,,,,,,,,,0.30115,0.05798,-0.1008,-0.94641
 10:32:13.862,COM6,-0.021,0.261,0.978,4.333,-0.061,-0.488,13.53,2.763,-144.662,-838,5284,10645,37.23,,,,,,,,,,,,0.29855,0.05856,-0.10495,-0.94675
 10:32:13.983,COM6,-0.021,0.274,0.975,2.991,-0.427,-0.854,13.936,2.675,-144.992,-802,5197,10626,37.24,,,,,,,,,,,,0.29575,0.05859,-0.10867,-0.9472
 10:32:14.054,COM6,-0.02,0.269,0.976,0.549,0.183,-0.732,14.128,2.615,-145.289,-820,5196,10622,37.23,,,,,,,,,,,,0.29321,0.05832,-0.1106,-0.94778
 10:32:14.156,COM6,-0.02,0.275,0.974,0.977,0.305,-0.977,14.337,2.576,-145.585,-828,5200,10580,37.25,,,,,,,,,,,,0.29074,0.05823,-0.11255,-0.94833
 10:32:14.292,COM6,-0.019,0.283,0.971,0.793,0.61,-0.977,14.502,2.543,-145.854,-809,5214,10526,37.22,,,,,,,,,,,,0.28842,0.05811,-0.11414,-0.94885
 10:32:14.388,COM6,-0.019,0.283,0.973,-0.244,0.427,-0.977,14.601,2.527,-146.124,-824,5214,10559,37.23,,,,,,,,,,,,0.28616,0.05792,-0.11517,-0.9494
 10:32:14.447,COM6,-0.019,0.288,0.971,-1.648,0.488,-1.099,14.601,2.516,-146.387,-815,5233,10539,37.26,,,,,,,,,,,,0.284,0.05759,-0.1153,-0.95007
 10:32:14.555,COM6,-0.019,0.275,0.973,-1.709,0.366,-1.282,14.491,2.499,-146.662,-789,5219,10571,37.25,,,,,,,,,,,,0.2818,0.05688,-0.11456,-0.95087
 10:32:14.672,COM6,-0.017,0.284,0.971,-1.648,0.488,-1.526,14.414,2.488,-146.953,-842,5193,10574,37.27,,,,,,,,,,,,0.27945,0.05634,-0.11411,-0.95163
 10:32:14.785,COM6,-0.019,0.276,0.972,-1.16,0.183,-1.343,14.392,2.472,-147.239,-860,5215,10587,37.25,,,,,,,,,,,,0.2771,0.05588,-0.11414,-0.95236
 10:32:14.842,COM6,-0.017,0.274,0.973,-1.892,0.854,-1.648,14.321,2.488,-147.502,-830,5209,10588,37.25,,,,,,,,,,,,0.2749,0.05557,-0.11362,-0.95306
 10:32:14.964,COM6,-0.019,0.279,0.971,-1.16,0.61,-1.526,14.293,2.499,-147.766,-929,5194,10607,37.25,,,,,,,,,,,,0.27274,0.05533,-0.11349,-0.9537
 10:32:15.055,COM6,-0.018,0.272,0.974,-1.77,0.427,-1.343,14.211,2.494,-148.013,-896,5189,10643,37.27,,,,,,,,,,,,0.27072,0.05484,-0.11295,-0.95438
 10:32:15.160,COM6,-0.018,0.275,0.973,-1.404,0.488,-1.282,14.15,2.477,-148.244,-1035,5191,10628,37.27,,,,,,,,,,,,0.2688,0.05435,-0.11258,-0.95499
 10:32:15.264,COM6,-0.016,0.271,0.974,-1.587,0.732,-1.16,14.079,2.472,-148.458,-1225,5197,10692,37.22,,,,,,,,,,,,0.26709,0.05392,-0.11209,-0.95557
 10:32:15.381,COM6,-0.017,0.273,0.973,-1.953,0.793,-0.977,14.035,2.472,-148.651,-1240,5181,10636,37.23,,,,,,,,,,,,0.2655,0.05362,-0.11179,-0.95605
 10:32:15.460,COM6,-0.017,0.273,0.973,-1.526,0.732,-0.793,13.964,2.477,-148.821,-1246,5185,10630,37.23,,,,,,,,,,,,0.2641,0.05334,-0.1113,-0.95651
 10:32:15.542,COM6,-0.017,0.267,0.976,-1.465,0.488,-0.916,13.87,2.466,-148.98,-1240,5161,10597,37.26,,,,,,,,,,,,0.26285,0.05289,-0.11063,-0.95697
 10:32:15.650,COM6,-0.017,0.264,0.976,-1.038,0.793,-0.916,13.821,2.461,-149.134,-1248,5174,10610,37.24,,,,,,,,,,,,0.26157,0.05258,-0.11029,-0.95737
 10:32:15.788,COM6,-0.016,0.267,0.976,-1.038,0.549,-0.977,13.815,2.461,-149.288,-1238,5180,10631,37.26,,,,,,,,,,,,0.26031,0.0524,-0.11032,-0.9577
 10:32:15.849,COM6,-0.011,0.263,0.978,-0.793,0.916,-0.427,13.793,2.45,-149.403,-1249,5161,10556,37.21,,,,,,,,,,,,0.25934,0.05215,-0.1102,-0.95801
 10:32:15.954,COM6,-0.019,0.292,0.967,-2.014,1.099,0.427,13.865,2.45,-149.496,-1255,5159,10671,37.23,,,,,,,,,,,,0.25851,0.05222,-0.11084,-0.95816
 10:32:16.064,COM6,-0.034,0.252,0.984,-1.099,-0.305,0.427,13.749,2.455,-149.518,-1259,5225,10639,37.24,,,,,,,,,,,,0.25842,0.05197,-0.10986,-0.95831
 10:32:16.148,COM6,-0.011,0.204,1,-3.479,1.953,-0.244,13.733,2.505,-149.502,-1252,5168,10594,37.25,,,,,,,,,,,,0.25848,0.0524,-0.10959,-0.95828
 10:32:16.254,COM6,-0.014,0.294,0.967,2.319,3.052,-0.061,13.859,2.499,-149.502,-937,5157,10621,37.27,,,,,,,,,,,,0.25842,0.05264,-0.11066,-0.95816
 10:32:16.386,COM6,-0.022,0.274,0.974,3.967,0.549,0.122,13.975,2.527,-149.568,-814,5163,10539,37.23,,,,,,,,,,,,0.25781,0.05307,-0.1116,-0.95819
 10:32:16.498,COM6,-0.018,0.249,0.982,1.16,1.587,0.122,14.145,2.543,-149.601,-793,5172,10602,37.22,,,,,,,,,,,,0.25745,0.05353,-0.11301,-0.95813
 10:32:16.553,COM6,-0.017,0.281,0.971,2.563,0.549,-0.793,14.447,2.527,-149.683,-805,5198,10589,37.23,,,,,,,,,,,,0.25665,0.05399,-0.11563,-0.95798
 10:32:16.663,COM6,-0.019,0.278,0.971,1.709,0.549,-0.916,14.716,2.51,-149.793,-798,5213,10555,37.24,,,,,,,,,,,,0.25558,0.05435,-0.11795,-0.95798
 10:32:16.768,COM6,-0.017,0.292,0.968,0.488,0.305,-1.099,14.936,2.488,-149.925,-798,5242,10533,37.27,,,,,,,,,,,,0.25443,0.05453,-0.11987,-0.95804
 10:32:16.858,COM6,-0.016,0.291,0.97,-2.258,0.427,-1.099,14.925,2.461,-150.062,-807,5239,10495,37.25,,,,,,,,,,,,0.25333,0.05411,-0.11993,-0.95834
 10:32:16.963,COM6,-0.015,0.281,0.972,-4.15,0.549,-0.977,14.694,2.439,-150.189,-928,5234,10545,37.24,,,,,,,,,,,,0.25238,0.05331,-0.11813,-0.95886
 10:32:17.081,COM6,-0.015,0.282,0.971,-5.981,0.61,-1.038,14.343,2.428,-150.304,-808,5197,10552,37.23,,,,,,,,,,,,0.25156,0.05234,-0.11526,-0.95947
 10:32:17.169,COM6,-0.015,0.264,0.977,-6.348,0.305,-1.038,13.81,2.411,-150.425,-1149,5155,10633,37.23,,,,,,,,,,,,0.25082,0.05087,-0.1109,-0.96027
 10:32:17.278,COM6,-0.016,0.256,0.979,-5.371,0.916,-1.282,13.343,2.417,-150.551,-1221,5148,10696,37.23,,,,,,,,,,,,0.24994,0.0498,-0.10703,-0.96097
 10:32:17.350,COM6,-0.017,0.247,0.98,-3.54,0.854,-1.404,12.997,2.439,-150.694,-1171,5539,10711,37.21,,,,,,,,,,,,0.2489,0.0491,-0.10413,-0.96161
 10:32:17.470,COM6,-0.018,0.243,0.983,-2.197,0.549,-1.343,12.794,2.45,-150.837,-1071,5585,10765,37.19,,,,,,,,,,,,0.24777,0.04858,-0.10245,-0.9621
 10:32:17.563,COM6,-0.012,0.24,0.986,-0.427,0.427,-1.404,12.722,2.428,-150.98,-1192,5581,10785,37.25,,,,,,,,,,,,0.24664,0.04813,-0.10199,-0.96246
 10:32:17.642,COM6,-0.015,0.245,0.983,-1.099,0.427,-1.16,12.717,2.373,-151.117,-1240,5583,10770,37.24,,,,,,,,,,,,0.24551,0.04755,-0.10211,-0.96277
 10:32:17.778,COM6,-0.015,0.247,0.98,0.488,0.854,-1.16,12.777,2.373,-151.238,-1249,5585,10814,37.23,,,,,,,,,,,,0.24448,0.04755,-0.10263,-0.96298
 10:32:17.868,COM6,-0.014,0.257,0.978,0.732,0.671,-1.221,12.92,2.384,-151.353,-1255,5582,10773,37.21,,,,,,,,,,,,0.24347,0.04785,-0.10391,-0.96307
 10:32:17.957,COM6,-0.015,0.253,0.979,0.732,0.427,-1.038,13.063,2.373,-151.469,-1254,5608,10787,37.23,,,,,,,,,,,,0.24243,0.04794,-0.10516,-0.9632
 10:32:18.067,COM6,-0.016,0.257,0.977,1.282,0.977,-1.099,13.244,2.379,-151.573,-1250,5495,10759,37.22,,,,,,,,,,,,0.24146,0.04828,-0.10669,-0.96326
 10:32:18.185,COM6,-0.016,0.258,0.978,1.16,0.916,-1.038,13.425,2.401,-151.672,-1253,5348,10709,37.2,,,,,,,,,,,,0.24054,0.04877,-0.10822,-0.96329
 10:32:18.253,COM6,-0.016,0.263,0.978,0,0.977,-0.854,13.563,2.417,-151.754,-1241,5182,10708,37.23,,,,,,,,,,,,0.23978,0.0491,-0.10938,-0.96335
 10:32:18.361,COM6,-0.015,0.267,0.977,-0.183,0.549,-0.793,13.645,2.411,-151.837,-1236,5145,10690,37.23,,,,,,,,,,,,0.23904,0.04916,-0.11011,-0.96344
 10:32:18.443,COM6,-0.015,0.264,0.977,-1.16,0.671,-1.038,13.623,2.395,-151.93,-1241,5184,10671,37.21,,,,,,,,,,,,0.23831,0.04889,-0.10999,-0.96365
 10:32:18.570,COM6,-0.016,0.263,0.978,-1.282,0.732,-0.793,13.574,2.39,-152.012,-1239,5154,10663,37.22,,,,,,,,,,,,0.23764,0.04868,-0.10962,-0.96387
 10:32:18.718,COM6,-0.016,0.271,0.976,-0.671,0.854,-0.732,13.563,2.401,-152.084,-1245,5144,10649,37.22,,,,,,,,,,,,0.23703,0.04865,-0.10956,-0.96402
 10:32:18.809,COM6,-0.015,0.26,0.979,-0.549,0.549,-0.732,13.552,2.401,-152.15,-1233,5152,10754,37.23,,,,,,,,,,,,0.23648,0.04858,-0.1095,-0.96417
 10:32:18.896,COM6,-0.015,0.263,0.978,-1.099,0.854,-0.854,13.557,2.401,-152.216,-1220,5143,10710,37.2,,,,,,,,,,,,0.23593,0.04852,-0.10959,-0.96429
 10:32:18.961,COM6,-0.015,0.259,0.978,-0.427,0.488,-0.854,13.557,2.39,-152.292,-1236,5141,10624,37.2,,,,,,,,,,,,0.23529,0.04837,-0.10962,-0.96445
 10:32:19.066,COM6,-0.016,0.263,0.975,0.549,0.427,-0.916,13.623,2.368,-152.375,-1225,5154,10681,37.21,,,,,,,,,,,,0.23456,0.04825,-0.11023,-0.96457
 10:32:19.200,COM6,-0.015,0.262,0.977,-0.793,0.854,-0.916,13.678,2.373,-152.446,-1236,5148,10684,37.19,,,,,,,,,,,,0.23398,0.04831,-0.11072,-0.96466
 10:32:19.291,COM6,-0.016,0.266,0.977,-1.343,0.793,-0.854,13.689,2.379,-152.512,-1243,5152,10674,37.23,,,,,,,,,,,,0.2334,0.04831,-0.11084,-0.96478
 10:32:19.380,COM6,-0.014,0.263,0.976,-1.648,0.732,-0.916,13.612,2.373,-152.584,-1233,5148,10724,37.21,,,,,,,,,,,,0.23282,0.04807,-0.11026,-0.965
 10:32:19.446,COM6,-0.015,0.267,0.975,-1.221,0.916,-0.732,13.557,2.379,-152.65,-1235,5184,10758,37.2,,,,,,,,,,,,0.23227,0.04794,-0.1098,-0.96518
 10:32:19.553,COM6,-0.017,0.26,0.977,-1.099,0.793,-0.732,13.513,2.395,-152.71,-1221,5218,10726,37.2,,,,,,,,,,,,0.23178,0.04791,-0.10944,-0.96536
 10:32:19.672,COM6,-0.016,0.261,0.976,-1.404,0.977,-0.854,13.453,2.411,-152.776,-1227,5202,10667,37.2,,,,,,,,,,,,0.23126,0.04785,-0.10892,-0.96555
 10:32:19.780,COM6,-0.016,0.258,0.977,-1.099,0.793,-0.732,13.403,2.422,-152.836,-1230,5149,10692,37.2,,,,,,,,,,,,0.23074,0.04779,-0.10849,-0.96573
 10:32:19.888,COM6,-0.016,0.255,0.979,-0.732,0.732,-0.854,13.387,2.422,-152.902,-1226,5278,10727,37.17,,,,,,,,,,,,0.23019,0.04773,-0.10834,-0.96585
 10:32:19.946,COM6,-0.016,0.259,0.978,-1.16,0.549,-0.793,13.381,2.411,-152.968,-1232,5475,10744,37.19,,,,,,,,,,,,0.22961,0.04758,-0.1084,-0.966
 10:32:20.052,COM6,-0.014,0.258,0.977,-1.404,0.732,-0.854,13.337,2.401,-153.04,-1249,5347,10677,37.22,,,,,,,,,,,,0.22906,0.04733,-0.10806,-0.96619
 10:32:20.163,COM6,-0.017,0.255,0.979,-1.16,0.854,-0.854,13.282,2.401,-153.105,-1234,5403,10709,37.16,,,,,,,,,,,,0.22855,0.04715,-0.10764,-0.96637
 10:32:20.274,COM6,-0.016,0.264,0.977,-0.305,0.854,-0.671,13.282,2.417,-153.16,-1242,5482,10741,37.21,,,,,,,,,,,,0.22809,0.04721,-0.10764,-0.96646
 10:32:20.358,COM6,-0.015,0.254,0.978,-0.854,0.366,-0.854,13.277,2.406,-153.221,-1230,5299,10747,37.22,,,,,,,,,,,,0.22757,0.04706,-0.1076,-0.96661
 10:32:20.463,COM6,-0.014,0.253,0.979,-0.488,0.916,-0.916,13.288,2.39,-153.287,-1253,5528,10676,37.23,,,,,,,,,,,,0.22702,0.04691,-0.10776,-0.96674
 10:32:20.583,COM6,-0.016,0.26,0.977,0.061,0.61,-0.732,13.354,2.384,-153.364,-1238,5310,10675,37.18,,,,,,,,,,,,0.22635,0.04691,-0.10837,-0.9668
 10:32:20.677,COM6,-0.016,0.252,0.979,0.122,0.977,-0.793,13.398,2.406,-153.413,-1225,5175,10652,37.2,,,,,,,,,,,,0.22589,0.04712,-0.1087,-0.96686
 10:32:20.764,COM6,-0.015,0.263,0.978,-0.549,0.671,-0.793,13.508,2.411,-153.474,-1236,5184,10685,37.17,,,,,,,,,,,,0.22531,0.04733,-0.10965,-0.96689
 10:32:20.864,COM6,-0.014,0.26,0.979,-0.854,0.61,-0.916,13.513,2.395,-153.55,-1226,5172,10710,37.21,,,,,,,,,,,,0.2247,0.04715,-0.10974,-0.96704
 10:32:20.948,COM6,-0.016,0.262,0.978,-0.61,0.977,-0.732,13.524,2.401,-153.616,-1230,5168,10732,37.19,,,,,,,,,,,,0.22412,0.04712,-0.10986,-0.96716
 10:32:21.073,COM6,-0.018,0.26,0.978,-0.488,0.977,-0.793,13.524,2.422,-153.666,-1237,5155,10704,37.23,,,,,,,,,,,,0.22369,0.04727,-0.10983,-0.96725
