时间,设备名称,加速度X(g),加速度Y(g),加速度Z(g),角速度X(°/s),角速度Y(°/s),角速度Z(°/s),角度X(°),角度Y(°),角度Z(°),磁场X(ʯt),磁场Y(ʯt),磁场Z(ʯt),温度(℃),四元数0(),四元数1(),四元数2(),四元数3()
 00:17:23.587,WT901BLE67(D03E7DA4620A), 0.004, 0.032, 1, 0, 0, 0, 1.011, 0.961, -1.505, -1.550, 55.225, -24.975, 31.69, -0.99973, -0.01627, 0.00211, 0.01312,
 00:17:23.632,WT901BLE67(D03E7DA4620A), 0.003, 0.032, 1, 0, 0, 0, 1.011, 0.961, -1.505, -1.550, 55.225, -24.975, 31.69, -0.99973, -0.01627, 0.00211, 0.01312,
 00:17:23.751,WT901BLE67(D03E7DA4620A), 0.004, 0.033, 0.998, 0, 0, 0, 1.011, 0.961, -1.505, -1.492, 55.108, -24.775, 31.69, -0.99973, -0.01627, 0.00211, 0.01312,
 00:17:23.840,WT901BLE67(D03E7DA4620A), 0.004, 0.033, 0.999, 0, 0, 0, 1.011, 0.961, -1.505, -1.492, 55.108, -24.775, 31.69, -0.99973, -0.01624, 0.00211, 0.01309,
 00:17:23.961,WT901BLE67(D03E7DA4620A), 0.004, 0.033, 1, 0, 0, 0, 1.011, 0.956, -1.505, -1.492, 55.108, -24.775, 31.69, -0.99973, -0.01624, 0.00211, 0.01309,
 00:17:24.052,WT901BLE67(D03E7DA4620A), 0.003, 0.033, 0.999, 0, 0, 0, 1.016, 0.956, -1.505, -1.492, 55.108, -24.775, 31.69, -0.99973, -0.01624, 0.00211, 0.01309,
 00:17:24.171,WT901BLE67(D03E7DA4620A), 0.004, 0.033, 1, 0, 0, 0, 1.016, 0.956, -1.5, -1.525, 55.150, -24.900, 31.69, -0.99973, -0.01624, 0.00211, 0.01309,
 00:17:24.231,WT901BLE67(D03E7DA4620A), 0.003, 0.033, 0.999, 0, 0, 0, 1.016, 0.956, -1.5, -1.525, 55.150, -24.900, 31.69, -0.99973, -0.01624, 0.00211, 0.01309,
 00:17:24.351,WT901BLE67(D03E7DA4620A), 0.004, 0.033, 1, 0, 0, 0, 1.016, 0.961, -1.5, -1.525, 55.150, -24.900, 31.69, -0.99973, -0.01627, 0.00211, 0.01306,
 00:17:24.441,WT901BLE67(D03E7DA4620A), 0.003, 0.033, 1, 0, 0, 0, 1.016, 0.961, -1.5, -1.525, 55.150, -24.900, 31.69, -0.99973, -0.01627, 0.00211, 0.01306,
 00:17:24.560,WT901BLE67(D03E7DA4620A), 0.004, 0.033, 0.999, 0, 0, 0, 1.016, 0.961, -1.5, -1.392, 55.083, -24.908, 31.69, -0.99973, -0.01627, 0.00211, 0.01306,
 00:17:24.650,WT901BLE67(D03E7DA4620A), 0.003, 0.033, 0.999, 0, 0, 0, 1.016, 0.961, -1.5, -1.392, 55.083, -24.908, 31.69, -0.99973, -0.01627, 0.00211, 0.01306,
 00:17:24.771,WT901BLE67(D03E7DA4620A), 0.004, 0.033, 1, 0, 0, 0, 1.016, 0.961, -1.5, -1.392, 55.083, -24.908, 31.69, -0.99973, -0.01627, 0.00211, 0.01306,
 00:17:24.831,WT901BLE67(D03E7DA4620A), 0.003, 0.033, 0.999, 0, 0, 0, 1.016, 0.961, -1.5, -1.392, 55.083, -24.908, 31.69, -0.99973, -0.01627, 0.00211, 0.01306,
 00:17:24.951,WT901BLE67(D03E7DA4620A), 0.003, 0.033, 1, 0, 0, 0, 1.016, 0.961, -1.5, -1.392, 55.083, -24.908, 31.69, -0.99973, -0.01627, 0.00211, 0.01306,
 00:17:25.040,WT901BLE67(D03E7DA4620A), 0.004, 0.033, 1, 0, 0, 0, 1.016, 0.961, -1.5, -1.425, 55.092, -25.008, 31.69, -0.99973, -0.01627, 0.00211, 0.01306,
 00:17:25.161,WT901BLE67(D03E7DA4620A), 0.003, 0.033, 0.999, 0, 0, 0, 1.016, 0.961, -1.494, -1.425, 55.092, -25.008, 31.69, -0.99973, -0.01627, 0.00211, 0.01303,
 00:17:25.252,WT901BLE67(D03E7DA4620A), 0.003, 0.033, 1, 0, 0, 0, 1.016, 0.961, -1.494, -1.425, 55.092, -25.008, 31.69, -0.99973, -0.01627, 0.00211, 0.01303,
 00:17:25.401,WT901BLE67(D03E7DA4620A), 0.004, 0.033, 1, 0, 0, 0, 1.016, 0.961, -1.494, -1.425, 55.092, -25.008, 31.69, -0.99973, -0.01627, 0.00211, 0.01303,
 00:17:25.432,WT901BLE67(D03E7DA4620A), 0.003, 0.033, 1, 0, 0, 0, 1.016, 0.961, -1.494, -1.425, 55.092, -25.008, 31.69, -0.99973, -0.01627, 0.00211, 0.01303,
 00:17:25.551,WT901BLE67(D03E7DA4620A), 0.003, 0.032, 1, 0, 0, 0, 1.016, 0.961, -1.494, -1.425, 55.092, -25.008, 31.69, -0.99973, -0.01627, 0.00211, 0.01303,
 00:17:25.641,WT901BLE67(D03E7DA4620A), 0.004, 0.033, 1, 0, 0, 0, 1.016, 0.961, -1.494, -1.425, 55.092, -25.008, 31.69, -0.99973, -0.01627, 0.00211, 0.01303,
 00:17:25.761,WT901BLE67(D03E7DA4620A), 0.003, 0.033, 1, 0, 0, 0, 1.016, 0.967, -1.494, -1.425, 55.092, -25.008, 31.69, -0.99973, -0.01627, 0.00211, 0.01303,
 00:17:28.283,WT901BLE67(D03E7DA4620A), 0.003, 0.033, 1, 0, 0, 0, 1.016, 0.967, -1.494, -1.442, 55.133, -24.650, 31.69, -0.99973, -0.01627, 0.00211, 0.01303,
 00:17:28.283,WT901BLE67(D03E7DA4620A), 0.003, 0.032, 1, 0, 0, 0, 1.016, 0.967, -1.494, -1.442, 55.133, -24.650, 31.69, -0.99973, -0.01627, 0.00211, 0.01303,
 00:17:28.283,WT901BLE67(D03E7DA4620A), 0.003, 0.033, 1, 0, 0, 0, 1.016, 0.967, -1.494, -1.442, 55.133, -24.650, 31.69, -0.99973, -0.01627, 0.00211, 0.01303,
 00:17:28.283,WT901BLE67(D03E7DA4620A), 0.004, 0.033, 1, 0, 0, 0, 1.016, 0.967, -1.494, -1.442, 55.133, -24.650, 31.69, -0.99973, -0.01627, 0.00211, 0.01303,
 00:17:28.283,WT901BLE67(D03E7DA4620A), 0.004, 0.033, 1, 0, 0, 0, 1.016, 0.967, -1.494, -1.442, 55.133, -24.650, 31.69, -0.99973, -0.01627, 0.00211, 0.01303,
 00:17:28.284,WT901BLE67(D03E7DA4620A), 0.003, 0.033, 1, 0, 0, 0, 1.016, 0.967, -1.494, -1.442, 55.133, -24.650, 31.69, -0.99973, -0.01627, 0.00211, 0.01303,
 00:17:28.284,WT901BLE67(D03E7DA4620A), 0.003, 0.032, 0.999, 0, 0, 0, 1.016, 0.967, -1.494, -1.442, 55.133, -24.650, 31.69, -0.99973, -0.01627, 0.00211, 0.01303,
 00:17:28.284,WT901BLE67(D03E7DA4620A), 0.004, 0.032, 1, 0, 0, 0, 1.016, 0.967, -1.494, -1.442, 55.133, -24.650, 31.69, -0.99973, -0.01627, 0.00211, 0.01303,
 00:17:28.285,WT901BLE67(D03E7DA4620A), 0.004, 0.033, 0.999, 0, 0, 0, 1.016, 0.967, -1.494, -1.442, 55.133, -24.650, 31.69, -0.99973, -0.01627, 0.00211, 0.01303,
 00:17:28.285,WT901BLE67(D03E7DA4620A), 0.004, 0.033, 1, 0, 0, 0, 1.016, 0.967, -1.494, -1.442, 55.133, -24.650, 31.69, -0.99973, -0.01627, 0.00211, 0.01303,
 00:17:28.285,WT901BLE67(D03E7DA4620A), 0.004, 0.033, 1.001, 0, 0, 0, 1.016, 0.967, -1.494, -1.442, 55.133, -24.650, 31.69, -0.99973, -0.01627, 0.00211, 0.01303,
 00:17:28.285,WT901BLE67(D03E7DA4620A), 0.004, 0.033, 1.004, 0, 0, 0, 1.016, 0.967, -1.494, -1.442, 55.133, -24.650, 31.69, -0.99973, -0.01627, 0.00211, 0.01303,
 00:17:28.285,WT901BLE67(D03E7DA4620A), 0.003, 0.033, 1.004, 0, 0, 0, 1.016, 0.967, -1.494, -1.442, 55.133, -24.650, 31.69, -0.99973, -0.01627, 0.00211, 0.01303,
 00:17:28.285,WT901BLE67(D03E7DA4620A), 0.004, 0.033, 1, 0, 0, 0, 1.016, 0.967, -1.489, -1.442, 55.133, -24.650, 31.69, -0.99973, -0.01627, 0.00211, 0.01303,
 00:17:28.285,WT901BLE67(D03E7DA4620A), 0.003, 0.033, 1, 0, 0, 0, 1.016, 0.967, -1.489, -1.442, 55.133, -24.650, 31.69, -0.99973, -0.01627, 0.00211, 0.01303,
 00:17:28.285,WT901BLE67(D03E7DA4620A), 0.004, 0.032, 0.999, 0, 0, 0, 1.016, 0.967, -1.489, -1.442, 55.133, -24.650, 31.69, -0.99973, -0.01627, 0.00211, 0.01303,
 00:17:28.285,WT901BLE67(D03E7DA4620A), 0.004, 0.032, 1, 0, 0, 0, 1.016, 0.967, -1.489, -1.442, 55.133, -24.650, 31.69, -0.99973, -0.01627, 0.00211, 0.01303,
 00:17:28.286,WT901BLE67(D03E7DA4620A), 0.004, 0.033, 1, 0, 0, 0, 1.016, 0.967, -1.494, -1.442, 55.133, -24.650, 31.69, -0.99973, -0.01627, 0.00211, 0.01303,
 00:17:28.286,WT901BLE67(D03E7DA4620A), 0.003, 0.034, 1, 0, 0, 0, 1.016, 0.967, -1.494, -1.442, 55.133, -24.650, 31.69, -0.99973, -0.01627, 0.00211, 0.01303,
 00:17:28.286,WT901BLE67(D03E7DA4620A), 0.004, 0.033, 1, 0, 0, 0, 1.016, 0.967, -1.494, -1.442, 55.133, -24.650, 31.69, -0.99973, -0.01627, 0.00211, 0.01303,
 00:17:28.286,WT901BLE67(D03E7DA4620A), 0.003, 0.033, 1, 0, 0, 0, 1.016, 0.967, -1.494, -1.442, 55.133, -24.650, 31.69, -0.99973, -0.01627, 0.00211, 0.01303,
 00:17:28.286,WT901BLE67(D03E7DA4620A), 0.003, 0.033, 1, 0, 0, 0, 1.016, 0.967, -1.494, -1.442, 55.133, -24.650, 31.69, -0.99973, -0.01627, 0.00211, 0.01303,
 00:17:28.287,WT901BLE67(D03E7DA4620A), 0.004, 0.032, 1, 0, 0, 0, 1.016, 0.967, -1.494, -1.442, 55.133, -24.650, 31.69, -0.99973, -0.01627, 0.00211, 0.01303,
 00:17:28.287,WT901BLE67(D03E7DA4620A), 0.003, 0.033, 0.999, 0, 0, 0, 1.016, 0.967, -1.494, -1.442, 55.133, -24.650, 31.69, -0.99973, -0.01627, 0.00211, 0.01303,
 00:17:28.287,WT901BLE67(D03E7DA4620A), 0.004, 0.032, 1, 0, 0, 0, 1.016, 0.967, -1.494, -1.442, 55.133, -24.650, 31.69, -0.99973, -0.01627, 0.00211, 0.01303,
 00:17:28.400,WT901BLE67(D03E7DA4620A), 0.004, 0.032, 0.999, 0, 0, 0, 1.016, 0.967, -1.494, -1.442, 55.133, -24.650, 31.69, -0.99973, -0.01627, 0.00211, 0.01303,
 00:17:28.431,WT901BLE67(D03E7DA4620A), 0.003, 0.033, 1, 0, 0, 0, 1.016, 0.967, -1.489, -1.442, 55.133, -24.650, 31.69, -0.99973, -0.01627, 0.00211, 0.01303,
 00:17:28.551,WT901BLE67(D03E7DA4620A), 0.003, 0.033, 1.001, 0, 0, 0, 1.016, 0.967, -1.489, -1.442, 55.133, -24.650, 31.69, -0.99973, -0.01627, 0.00211, 0.01303,
 00:17:28.641,WT901BLE67(D03E7DA4620A), 0.003, 0.032, 1, 0, 0, 0, 1.016, 0.967, -1.489, -1.442, 55.133, -24.650, 31.69, -0.99973, -0.01627, 0.00211, 0.01303,
 00:17:28.761,WT901BLE67(D03E7DA4620A), 0.003, 0.033, 1, 0, 0, 0, 1.016, 0.967, -1.489, -1.442, 55.133, -24.650, 31.69, -0.99973, -0.01627, 0.00211, 0.01303,
 00:17:28.851,WT901BLE67(D03E7DA4620A), 0.003, 0.033, 1, 0, 0, 0, 1.016, 0.967, -1.489, -1.425, 55.217, -24.850, 31.69, -0.99973, -0.01627, 0.00211, 0.01303,
 00:17:28.972,WT901BLE67(D03E7DA4620A), 0.003, 0.033, 1, 0, 0, 0, 1.016, 0.967, -1.489, -1.425, 55.217, -24.850, 31.69, -0.99973, -0.0163, 0.00204, 0.013,
 00:17:29.031,WT901BLE67(D03E7DA4620A), 0.004, 0.033, 1.001, 0, 0, 0, 1.016, 0.967, -1.489, -1.425, 55.217, -24.850, 31.69, -0.99973, -0.0163, 0.00204, 0.013,
 00:17:29.181,WT901BLE67(D03E7DA4620A), 0.004, 0.033, 1, 0, 0, 0, 1.016, 0.967, -1.489, -1.425, 55.217, -24.850, 31.69, -0.99973, -0.0163, 0.00204, 0.013,
 00:17:29.241,WT901BLE67(D03E7DA4620A), 0.003, 0.032, 1, 0, 0, 0, 1.016, 0.967, -1.489, -1.483, 55.133, -24.875, 31.69, -0.99973, -0.0163, 0.00204, 0.013,
 00:17:29.361,WT901BLE67(D03E7DA4620A), 0.004, 0.033, 1, 0, 0, 0, 1.016, 0.967, -1.489, -1.483, 55.133, -24.875, 31.69, -0.99973, -0.0163, 0.00201, 0.013,
 00:17:29.451,WT901BLE67(D03E7DA4620A), 0.003, 0.033, 1, 0, 0, 0, 1.016, 0.967, -1.489, -1.483, 55.133, -24.875, 31.69, -0.99973, -0.0163, 0.00201, 0.013,
 00:17:29.571,WT901BLE67(D03E7DA4620A), 0.004, 0.033, 1, 0, 0, 0, 1.022, 0.967, -1.489, -1.483, 55.133, -24.875, 31.69, -0.99973, -0.0163, 0.00201, 0.013,
 00:17:29.631,WT901BLE67(D03E7DA4620A), 0.003, 0.033, 1, 0, 0, 0, 1.022, 0.967, -1.489, -1.483, 55.133, -24.875, 31.69, -0.99973, -0.0163, 0.00201, 0.013,
 00:17:29.751,WT901BLE67(D03E7DA4620A), 0.004, 0.033, 1, 0, 0, 0, 1.022, 0.967, -1.489, -1.625, 55.067, -25.175, 31.69, -0.99973, -0.01633, 0.00204, 0.01297,
